"modeldate","party","yes_estimate"
2019-06-29 12:00:00,"rep",7
2019-06-29 12:00:00,"dem",61
2019-06-29 12:00:00,"ind",37
2019-04-23 12:00:00,"rep",10
2019-04-23 12:00:00,"dem",62
2019-04-23 12:00:00,"ind",36
2019-06-10 00:00:00,"rep",5
2019-06-10 00:00:00,"dem",77
2019-06-10 00:00:00,"ind",41
2019-05-29 12:00:00,"rep",6
2019-05-29 12:00:00,"dem",76
2019-05-29 12:00:00,"ind",35
2019-04-26 12:00:00,"rep",7
2019-04-26 12:00:00,"dem",69
2019-04-26 12:00:00,"ind",30
2019-03-15 12:00:00,"rep",4
2019-03-15 12:00:00,"dem",68
2019-03-15 12:00:00,"ind",33
2019-07-22 00:00:00,"rep",8
2019-07-22 00:00:00,"dem",74
2019-07-22 00:00:00,"ind",36
2019-06-10 12:00:00,"rep",10
2019-06-10 12:00:00,"dem",74
2019-06-10 12:00:00,"ind",40
2019-05-12 12:00:00,"rep",9
2019-05-12 12:00:00,"dem",72
2019-05-12 12:00:00,"ind",33
2019-09-22 12:00:00,"rep",18
2019-09-22 12:00:00,"dem",73
2019-09-22 12:00:00,"ind",38
2019-09-15 12:00:00,"rep",16
2019-09-15 12:00:00,"dem",76
2019-09-15 12:00:00,"ind",35
2019-09-08 12:00:00,"rep",11
2019-09-08 12:00:00,"dem",73
2019-09-08 12:00:00,"ind",35
2019-09-01 12:00:00,"rep",8
2019-09-01 12:00:00,"dem",77
2019-09-01 12:00:00,"ind",41
2019-08-25 12:00:00,"rep",13
2019-08-25 12:00:00,"dem",73
2019-08-25 12:00:00,"ind",42
2019-08-18 12:00:00,"rep",15
2019-08-18 12:00:00,"dem",72
2019-08-18 12:00:00,"ind",34
2019-08-11 12:00:00,"rep",13
2019-08-11 12:00:00,"dem",73
2019-08-11 12:00:00,"ind",40
2019-08-04 12:00:00,"rep",16
2019-08-04 12:00:00,"dem",76
2019-08-04 12:00:00,"ind",41
2019-07-28 12:00:00,"rep",17
2019-07-28 12:00:00,"dem",71
2019-07-28 12:00:00,"ind",35
2019-07-14 12:00:00,"rep",12
2019-07-14 12:00:00,"dem",69
2019-07-14 12:00:00,"ind",39
2019-07-07 12:00:00,"rep",12
2019-07-07 12:00:00,"dem",70
2019-07-07 12:00:00,"ind",39
2019-06-30 12:00:00,"rep",11
2019-06-30 12:00:00,"dem",71
2019-06-30 12:00:00,"ind",43
2019-06-23 12:00:00,"rep",12
2019-06-23 12:00:00,"dem",75
2019-06-23 12:00:00,"ind",39
2019-06-16 12:00:00,"rep",11
2019-06-16 12:00:00,"dem",71
2019-06-16 12:00:00,"ind",36
2019-06-09 12:00:00,"rep",12
2019-06-09 12:00:00,"dem",75
2019-06-09 12:00:00,"ind",43
2019-06-02 12:00:00,"rep",12
2019-06-02 12:00:00,"dem",72
2019-06-02 12:00:00,"ind",40
2019-05-30 12:00:00,"rep",14
2019-05-30 12:00:00,"dem",74
2019-05-30 12:00:00,"ind",40
2019-05-22 12:00:00,"rep",13
2019-05-22 12:00:00,"dem",64
2019-05-22 12:00:00,"ind",36
2019-05-03 12:00:00,"rep",10
2019-05-03 12:00:00,"dem",71
2019-05-03 12:00:00,"ind",37
2019-04-21 12:00:00,"rep",11
2019-04-21 12:00:00,"dem",70
2019-04-21 12:00:00,"ind",37
2019-04-18 12:00:00,"rep",10
2019-04-18 12:00:00,"dem",70
2019-04-18 12:00:00,"ind",43
2019-03-28 12:00:00,"rep",9
2019-03-28 12:00:00,"dem",70
2019-03-28 12:00:00,"ind",29
2019-03-24 12:00:00,"rep",13
2019-03-24 12:00:00,"dem",73
2019-03-24 12:00:00,"ind",34
2019-09-23 12:00:00,"rep",10
2019-09-23 12:00:00,"dem",69
2019-09-23 12:00:00,"ind",32
2019-05-06 12:00:00,"rep",17
2019-05-06 12:00:00,"dem",73
2019-05-06 12:00:00,"ind",43
2019-04-18 12:00:00,"rep",16
2019-04-18 12:00:00,"dem",67
2019-04-18 12:00:00,"ind",36
2019-08-18 00:00:00,"rep",2
2019-08-18 00:00:00,"dem",69
2019-08-18 00:00:00,"ind",30
2019-06-14 12:00:00,"rep",4
2019-06-14 12:00:00,"dem",63
2019-06-14 12:00:00,"ind",30
2019-05-18 00:00:00,"rep",10
2019-05-18 00:00:00,"dem",74
2019-05-18 00:00:00,"ind",30
2019-03-02 12:00:00,"rep",8
2019-03-02 12:00:00,"dem",75
2019-03-02 12:00:00,"ind",40
2019-09-25 00:00:00,"rep",10
2019-09-25 00:00:00,"dem",79
2019-09-25 00:00:00,"ind",39
2019-09-21 00:00:00,"rep",5
2019-09-21 00:00:00,"dem",66
2019-09-21 00:00:00,"ind",33
2019-09-14 00:00:00,"rep",6
2019-09-14 00:00:00,"dem",70
2019-09-14 00:00:00,"ind",31
2019-09-07 12:00:00,"rep",6
2019-09-07 12:00:00,"dem",65
2019-09-07 12:00:00,"ind",32
2019-08-17 00:00:00,"rep",6
2019-08-17 00:00:00,"dem",67
2019-08-17 00:00:00,"ind",34
2019-08-02 00:00:00,"rep",6
2019-08-02 00:00:00,"dem",70
2019-08-02 00:00:00,"ind",32
2019-07-25 00:00:00,"rep",6
2019-07-25 00:00:00,"dem",64
2019-07-25 00:00:00,"ind",34
2019-07-20 00:00:00,"rep",8
2019-07-20 00:00:00,"dem",65
2019-07-20 00:00:00,"ind",36
2019-06-30 00:00:00,"rep",6
2019-06-30 00:00:00,"dem",63
2019-06-30 00:00:00,"ind",32
2019-06-22 12:00:00,"rep",7
2019-06-22 12:00:00,"dem",65
2019-06-22 12:00:00,"ind",36
2019-06-15 00:00:00,"rep",7
2019-06-15 00:00:00,"dem",67
2019-06-15 00:00:00,"ind",31
2019-06-08 00:00:00,"rep",6
2019-06-08 00:00:00,"dem",65
2019-06-08 00:00:00,"ind",34
2019-06-01 00:00:00,"rep",7
2019-06-01 00:00:00,"dem",69
2019-06-01 00:00:00,"ind",32
2019-05-11 00:00:00,"rep",7
2019-05-11 00:00:00,"dem",66
2019-05-11 00:00:00,"ind",30
2019-04-28 12:00:00,"rep",6
2019-04-28 12:00:00,"dem",60
2019-04-28 12:00:00,"ind",27
2019-04-20 00:00:00,"rep",7
2019-04-20 00:00:00,"dem",59
2019-04-20 00:00:00,"ind",31
2019-04-14 12:00:00,"rep",15
2019-04-14 12:00:00,"dem",69
2019-04-14 12:00:00,"ind",36
2019-09-21 00:00:00,"rep",4
2019-09-21 00:00:00,"dem",73
2019-09-21 00:00:00,"ind",34
2019-07-26 12:00:00,"rep",3
2019-07-26 12:00:00,"dem",61
2019-07-26 12:00:00,"ind",28
2019-06-08 00:00:00,"rep",2
2019-06-08 00:00:00,"dem",62
2019-06-08 00:00:00,"ind",35
2019-04-27 12:00:00,"rep",4
2019-04-27 12:00:00,"dem",56
2019-04-27 12:00:00,"ind",27
2019-03-02 12:00:00,"rep",6
2019-03-02 12:00:00,"dem",66
2019-03-02 12:00:00,"ind",30
2019-05-03 12:00:00,"rep",12
2019-05-03 12:00:00,"dem",66
2019-08-22 12:00:00,"rep",7
2019-08-22 12:00:00,"dem",69
2019-08-22 12:00:00,"ind",33
2019-06-13 00:00:00,"rep",8
2019-06-13 00:00:00,"dem",59
2019-06-13 00:00:00,"ind",26
2019-03-15 00:00:00,"rep",6
2019-03-15 00:00:00,"dem",53
2019-03-15 00:00:00,"ind",24
2019-09-25 12:00:00,"rep",15
2019-09-25 12:00:00,"dem",73
2019-03-27 12:00:00,"dem",61
2019-07-28 12:00:00,"rep",8
2019-07-28 12:00:00,"dem",63
2019-07-28 12:00:00,"ind",28
2019-07-22 00:00:00,"rep",9
2019-07-22 00:00:00,"dem",70
2019-07-22 00:00:00,"ind",35
2019-05-27 00:00:00,"rep",9
2019-05-27 00:00:00,"dem",65
2019-05-27 00:00:00,"ind",28
2019-09-25 00:00:00,"rep",11
2019-09-25 00:00:00,"dem",81
2019-09-25 00:00:00,"ind",37
2019-09-10 12:00:00,"rep",16
2019-09-10 12:00:00,"dem",74
2019-09-10 12:00:00,"ind",35
2019-08-09 12:00:00,"rep",13
2019-08-09 12:00:00,"dem",73
2019-08-09 12:00:00,"ind",32
2019-07-17 12:00:00,"rep",9
2019-07-17 12:00:00,"dem",75
2019-07-17 12:00:00,"ind",31
2019-06-15 12:00:00,"rep",15
2019-06-15 12:00:00,"dem",72
2019-06-15 12:00:00,"ind",34
2019-05-29 12:00:00,"rep",10
2019-05-29 12:00:00,"dem",75
2019-05-29 12:00:00,"ind",29
2019-05-21 12:00:00,"rep",16
2019-05-21 12:00:00,"dem",77
2019-05-21 12:00:00,"ind",35
2019-04-18 12:00:00,"rep",6
2019-04-18 12:00:00,"dem",66
2019-04-18 12:00:00,"ind",31
2019-07-15 00:00:00,"rep",11
2019-07-15 00:00:00,"dem",64
2019-07-15 00:00:00,"ind",29
2019-09-25 00:00:00,"rep",6
2019-09-25 00:00:00,"dem",88
2019-09-25 00:00:00,"ind",44
2019-09-03 12:00:00,"rep",10
2019-09-03 12:00:00,"dem",71
2019-09-03 12:00:00,"ind",36
2019-08-12 12:00:00,"rep",18
2019-08-12 12:00:00,"dem",71
2019-08-12 12:00:00,"ind",30
2019-07-15 12:00:00,"rep",10
2019-07-15 12:00:00,"dem",73
2019-07-15 12:00:00,"ind",35
2019-06-17 12:00:00,"rep",10
2019-06-17 12:00:00,"dem",73
2019-06-17 12:00:00,"ind",39
2019-04-03 12:00:00,"rep",10.8
2019-04-03 12:00:00,"dem",73.1
2019-04-02 12:00:00,"rep",12
2019-04-02 12:00:00,"dem",72.7
2019-04-01 12:00:00,"rep",12.9
2019-04-01 12:00:00,"dem",72.1
2019-03-31 12:00:00,"rep",12.5
2019-03-31 12:00:00,"dem",70.9
2019-03-31 12:00:00,"ind",37
2019-03-30 12:00:00,"rep",12
2019-03-30 12:00:00,"dem",69.4
2019-03-30 12:00:00,"ind",35.8
2019-03-29 12:00:00,"rep",12
2019-03-29 12:00:00,"dem",69
2019-03-29 12:00:00,"ind",34.2
2019-03-28 12:00:00,"rep",12.3
2019-03-28 12:00:00,"dem",68.1
2019-03-28 12:00:00,"ind",33.8
2019-03-27 12:00:00,"rep",11.9
2019-03-27 12:00:00,"dem",66.9
2019-03-27 12:00:00,"ind",35
2019-03-26 12:00:00,"rep",11.3
2019-03-26 12:00:00,"dem",66.6
2019-03-26 12:00:00,"ind",35.6
2019-03-25 12:00:00,"rep",10.8
2019-03-25 12:00:00,"dem",65.2
2019-03-25 12:00:00,"ind",35.2
2019-03-24 12:00:00,"rep",11.5
2019-03-24 12:00:00,"dem",66.4
2019-03-24 12:00:00,"ind",34.2
2019-03-23 12:00:00,"rep",11.8
2019-03-23 12:00:00,"dem",66.4
2019-03-23 12:00:00,"ind",35.2
2019-03-22 12:00:00,"rep",11.6
2019-03-22 12:00:00,"dem",66.5
2019-03-22 12:00:00,"ind",36.6
2019-03-21 12:00:00,"rep",12.3
2019-03-21 12:00:00,"dem",67.1
2019-03-21 12:00:00,"ind",37.9
2019-03-20 12:00:00,"rep",12.4
2019-03-20 12:00:00,"dem",68.1
2019-03-20 12:00:00,"ind",36.7
2019-03-19 12:00:00,"rep",13.1
2019-03-19 12:00:00,"dem",68.6
2019-03-19 12:00:00,"ind",36.3
2019-03-18 12:00:00,"rep",13.1
2019-03-18 12:00:00,"dem",69.1
2019-03-18 12:00:00,"ind",38
2019-03-17 12:00:00,"rep",13.2
2019-03-17 12:00:00,"dem",69.2
2019-03-16 12:00:00,"rep",13.7
2019-03-16 12:00:00,"dem",71
2019-03-15 12:00:00,"rep",13.2
2019-03-15 12:00:00,"dem",71.7
2019-03-14 12:00:00,"rep",12.4
2019-03-14 12:00:00,"dem",72.1
2019-03-13 12:00:00,"rep",13.5
2019-03-13 12:00:00,"dem",72.6
2019-03-12 12:30:00,"rep",12.9
2019-03-12 12:30:00,"dem",72.5
2019-03-12 12:30:00,"ind",36
2019-03-11 12:30:00,"rep",11.2
2019-03-11 12:30:00,"dem",74.9
2019-03-11 12:30:00,"ind",35
2019-03-10 12:30:00,"rep",10.8
2019-03-10 12:30:00,"dem",74.5
2019-03-10 12:30:00,"ind",35
2019-03-09 11:30:00,"rep",12
2019-03-09 11:30:00,"dem",75.3
2019-03-09 11:30:00,"ind",35.2
2019-03-08 11:30:00,"rep",12.8
2019-03-08 11:30:00,"dem",75.5
2019-03-08 11:30:00,"ind",35.6
2019-03-07 12:00:00,"rep",12.7
2019-03-07 12:00:00,"dem",74.5
2019-03-07 12:00:00,"ind",37
2019-03-06 12:00:00,"rep",12.1
2019-03-06 12:00:00,"dem",74.4
2019-03-06 12:00:00,"ind",38
2019-03-05 12:00:00,"rep",12.7
2019-03-05 12:00:00,"dem",75.2
2019-03-05 12:00:00,"ind",36
2019-03-04 12:00:00,"rep",14.2
2019-03-04 12:00:00,"dem",75.1
2019-03-04 12:00:00,"ind",37
2019-03-03 12:00:00,"rep",16.2
2019-03-03 12:00:00,"dem",76.3
2019-03-03 12:00:00,"ind",39
2019-05-25 12:00:00,"rep",13
2019-05-25 12:00:00,"dem",59
2019-05-25 12:00:00,"ind",31
2019-09-26 12:00:00,"rep",18
2019-09-26 12:00:00,"dem",78
2019-09-26 12:00:00,"ind",41
2019-09-26 12:00:00,"rep",23
2019-09-26 12:00:00,"dem",87
2019-09-26 12:00:00,"ind",49
2019-09-28 00:00:00,"rep",7
2019-09-28 00:00:00,"dem",90
2019-09-28 00:00:00,"ind",42
2019-09-28 00:00:00,"rep",8
2019-09-28 00:00:00,"dem",95
2019-09-28 00:00:00,"ind",50
2019-09-26 12:00:00,"rep",15
2019-09-26 12:00:00,"dem",73
2019-09-26 12:00:00,"ind",34
2019-09-28 00:00:00,"rep",13
2019-09-28 00:00:00,"dem",74
2019-09-28 00:00:00,"ind",37
2019-09-28 00:00:00,"rep",13
2019-09-28 00:00:00,"dem",75
2019-09-28 00:00:00,"ind",38
2019-09-23 12:00:00,"rep",10
2019-09-23 12:00:00,"dem",66
2019-09-23 12:00:00,"ind",36
2019-05-06 12:00:00,"rep",17
2019-05-06 12:00:00,"dem",73
2019-05-06 12:00:00,"ind",43
2019-09-29 12:00:00,"rep",13
2019-09-29 12:00:00,"dem",80
2019-09-29 12:00:00,"ind",40
2019-03-27 12:00:00,"rep",12
2019-03-27 12:00:00,"dem",66
2019-03-27 12:00:00,"ind",38
2019-09-26 00:00:00,"rep",6
2019-09-26 00:00:00,"dem",76
2019-09-26 00:00:00,"ind",42
2019-09-26 00:00:00,"rep",9
2019-09-26 00:00:00,"dem",77
2019-09-26 00:00:00,"ind",41
2019-09-26 00:00:00,"rep",16
2019-09-26 00:00:00,"dem",79
2019-09-26 00:00:00,"ind",47
2019-09-28 12:00:00,"rep",9
2019-09-28 12:00:00,"dem",80
2019-09-28 12:00:00,"ind",43
2019-09-28 12:00:00,"rep",12
2019-09-28 12:00:00,"dem",84
2019-09-28 12:00:00,"ind",49
2019-09-29 12:00:00,"rep",11
2019-09-29 12:00:00,"dem",83
2019-09-29 12:00:00,"ind",36
2019-09-29 12:00:00,"rep",13
2019-09-29 12:00:00,"dem",83
2019-09-29 12:00:00,"ind",40
2019-10-01 12:00:00,"rep",17
2019-10-01 12:00:00,"dem",74
2019-10-01 12:00:00,"ind",37
2019-10-01 12:00:00,"rep",17
2019-10-01 12:00:00,"dem",72
2019-10-01 12:00:00,"ind",37
2019-09-30 12:00:00,"rep",14
2019-09-30 12:00:00,"dem",79
2019-09-30 12:00:00,"ind",35
2019-10-06 12:00:00,"rep",16
2019-10-06 12:00:00,"dem",83
2019-10-06 12:00:00,"ind",40
2019-10-03 12:00:00,"rep",28
2019-10-03 12:00:00,"dem",86
2019-10-03 12:00:00,"ind",57
2019-10-02 00:00:00,"rep",29
2019-10-02 00:00:00,"rep",24
2019-10-02 00:00:00,"dem",76
2019-10-02 00:00:00,"ind",40
2019-10-05 12:00:00,"rep",6
2019-10-05 12:00:00,"dem",85
2019-10-05 12:00:00,"ind",43
2019-10-05 12:00:00,"rep",9
2019-10-05 12:00:00,"dem",94
2019-10-05 12:00:00,"ind",55
2019-10-05 00:00:00,"rep",11
2019-10-05 00:00:00,"dem",75
2019-10-05 00:00:00,"ind",39
2019-10-07 12:00:00,"rep",12
2019-10-07 12:00:00,"dem",79
2019-10-07 12:00:00,"ind",31
2019-10-07 12:00:00,"rep",16
2019-10-07 12:00:00,"dem",83
2019-10-07 12:00:00,"ind",44
2019-10-07 12:00:00,"rep",12
2019-10-07 12:00:00,"dem",88
2019-10-07 12:00:00,"ind",44
2019-10-07 12:00:00,"rep",12
2019-10-07 12:00:00,"dem",88
2019-10-07 12:00:00,"ind",43
2019-10-08 12:00:00,"rep",12
2019-10-08 12:00:00,"dem",87
2019-10-08 12:00:00,"ind",37
2019-10-08 12:00:00,"rep",10
2019-10-08 12:00:00,"dem",86
2019-10-08 12:00:00,"ind",36
2019-10-04 12:00:00,"rep",16
2019-10-04 12:00:00,"dem",86
2019-10-04 12:00:00,"ind",51
2019-10-07 00:00:00,"rep",13
2019-10-07 00:00:00,"dem",85
2019-10-07 00:00:00,"ind",39
2019-10-04 12:00:00,"rep",9.67
2019-10-04 12:00:00,"dem",81.64
2019-10-05 12:00:00,"rep",9
2019-10-05 12:00:00,"dem",86
2019-10-05 12:00:00,"ind",54
2019-10-05 12:00:00,"rep",6
2019-10-05 12:00:00,"dem",87
2019-10-05 12:00:00,"ind",47
2019-10-05 12:00:00,"rep",6
2019-10-05 12:00:00,"dem",85
2019-10-05 12:00:00,"ind",45
2019-10-04 12:00:00,"rep",14
2019-10-04 12:00:00,"dem",86
2019-10-04 12:00:00,"ind",48
2019-10-09 12:00:00,"rep",16
2019-10-09 12:00:00,"dem",88
2019-10-09 12:00:00,"ind",47
2019-10-12 00:00:00,"rep",6
2019-10-12 00:00:00,"dem",85
2019-10-12 00:00:00,"ind",42
2019-10-12 00:00:00,"rep",9
2019-10-12 00:00:00,"dem",90
2019-10-12 00:00:00,"ind",50
2019-10-13 12:00:00,"rep",14
2019-10-13 12:00:00,"dem",84
2019-10-13 12:00:00,"ind",46
2019-10-12 00:00:00,"rep",14
2019-10-12 00:00:00,"dem",81
2019-10-12 00:00:00,"ind",51
2019-10-12 00:00:00,"rep",13
2019-10-12 00:00:00,"dem",85
2019-10-12 00:00:00,"ind",49
2019-10-12 00:00:00,"rep",11
2019-10-12 00:00:00,"dem",87
2019-10-12 00:00:00,"ind",48
2019-10-09 12:00:00,"rep",10
2019-10-09 12:00:00,"dem",84
2019-10-09 12:00:00,"ind",36
2019-10-14 12:00:00,"rep",12
2019-10-14 12:00:00,"dem",75
2019-10-14 12:00:00,"ind",33
2019-10-07 00:00:00,"rep",6
2019-10-07 00:00:00,"dem",89
2019-10-07 00:00:00,"ind",55
2019-10-14 00:00:00,"rep",15
2019-10-14 00:00:00,"dem",82
2019-10-14 00:00:00,"ind",36
2019-10-14 00:00:00,"rep",16
2019-10-14 00:00:00,"dem",84
2019-10-14 00:00:00,"ind",38
2019-10-14 12:00:00,"rep",10
2019-10-14 12:00:00,"dem",79
2019-10-14 12:00:00,"ind",32
2019-10-07 00:00:00,"rep",15
2019-10-07 00:00:00,"dem",89
2019-10-15 12:00:00,"rep",12
2019-10-15 12:00:00,"dem",85
2019-10-15 12:00:00,"ind",50
2019-10-15 12:00:00,"rep",11
2019-10-15 12:00:00,"dem",81
2019-10-15 12:00:00,"ind",46
2019-09-03 00:00:00,"rep",6
2019-09-03 00:00:00,"dem",78
2019-09-03 00:00:00,"ind",47
2019-10-11 12:00:00,"rep",7
2019-10-11 12:00:00,"dem",88
2019-10-11 12:00:00,"ind",49
2019-10-18 12:00:00,"rep",6
2019-10-18 12:00:00,"dem",87
2019-10-18 12:00:00,"ind",50
2019-10-19 12:00:00,"rep",18.2
2019-10-19 12:00:00,"dem",74.6
2019-10-19 12:00:00,"ind",47.6
2019-10-20 00:00:00,"rep",12
2019-10-20 00:00:00,"dem",77
2019-10-20 00:00:00,"ind",45
2019-10-19 12:00:00,"rep",14
2019-10-19 12:00:00,"dem",82
2019-10-19 12:00:00,"ind",45
2019-10-19 12:00:00,"rep",11
2019-10-19 12:00:00,"dem",85
2019-10-19 12:00:00,"ind",47
2019-10-19 12:00:00,"rep",9
2019-10-19 12:00:00,"dem",86
2019-10-19 12:00:00,"ind",46
